,Aggravated assault/battery_2001,Aggravated assault/battery_2002,Aggravated assault/battery_2003,Aggravated assault/battery_2004,Aggravated assault/battery_2005,Aggravated assault/battery_2006,Aggravated assault/battery_2007,Aggravated assault/battery_2008,Aggravated assault/battery_2009,Aggravated assault/battery_2010,Aggravated assault/battery_2011,Aggravated assault/battery_2012,Aggravated assault/battery_2013,Aggravated assault/battery_2014,Aggravated assault/battery_2015,Aggravated assault/battery_2016,Aggravated assault/battery_2017,Arson_2001,Arson_2002,Arson_2003,Arson_2004,Arson_2005,Arson_2006,Arson_2007,Arson_2008,Arson_2009,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Arson_2016,Arson_2017,Burglary_2001,Burglary_2002,Burglary_2003,Burglary_2004,Burglary_2005,Burglary_2006,Burglary_2007,Burglary_2008,Burglary_2009,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,Burglary_2016,Burglary_2017,Criminal sexual assault_2001,Criminal sexual assault_2002,Criminal sexual assault_2003,Criminal sexual assault_2004,Criminal sexual assault_2005,Criminal sexual assault_2006,Criminal sexual assault_2007,Criminal sexual assault_2008,Criminal sexual assault_2009,Criminal sexual assault_2010,Criminal sexual assault_2011,Criminal sexual assault_2012,Criminal sexual assault_2013,Criminal sexual assault_2014,Criminal sexual assault_2015,Criminal sexual assault_2016,Criminal sexual assault_2017,Drug abuse_2001,Drug abuse_2002,Drug abuse_2003,Drug abuse_2004,Drug abuse_2005,Drug abuse_2006,Drug abuse_2007,Drug abuse_2008,Drug abuse_2009,Drug abuse_2010,Drug abuse_2011,Drug abuse_2012,Drug abuse_2013,Drug abuse_2014,Drug abuse_2015,Drug abuse_2016,Drug abuse_2017,Homicide_2001,Homicide_2002,Homicide_2003,Homicide_2004,Homicide_2005,Homicide_2006,Homicide_2007,Homicide_2008,Homicide_2009,Homicide_2010,Homicide_2011,Homicide_2012,Homicide_2013,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Larceny_2001,Larceny_2002,Larceny_2003,Larceny_2004,Larceny_2005,Larceny_2006,Larceny_2007,Larceny_2008,Larceny_2009,Larceny_2010,Larceny_2011,Larceny_2012,Larceny_2013,Larceny_2014,Larceny_2015,Larceny_2016,Larceny_2017,Manslaughter_2001,Manslaughter_2002,Manslaughter_2003,Manslaughter_2004,Manslaughter_2005,Manslaughter_2006,Manslaughter_2007,Manslaughter_2008,Manslaughter_2009,Manslaughter_2010,Manslaughter_2011,Manslaughter_2012,Manslaughter_2013,Manslaughter_2014,Manslaughter_2015,Manslaughter_2016,Manslaughter_2017,Motor vehicle theft_2001,Motor vehicle theft_2002,Motor vehicle theft_2003,Motor vehicle theft_2004,Motor vehicle theft_2005,Motor vehicle theft_2006,Motor vehicle theft_2007,Motor vehicle theft_2008,Motor vehicle theft_2009,Motor vehicle theft_2010,Motor vehicle theft_2011,Motor vehicle theft_2012,Motor vehicle theft_2013,Motor vehicle theft_2014,Motor vehicle theft_2015,Motor vehicle theft_2016,Motor vehicle theft_2017,Robbery_2001,Robbery_2002,Robbery_2003,Robbery_2004,Robbery_2005,Robbery_2006,Robbery_2007,Robbery_2008,Robbery_2009,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Weapons violation_2001,Weapons violation_2002,Weapons violation_2003,Weapons violation_2004,Weapons violation_2005,Weapons violation_2006,Weapons violation_2007,Weapons violation_2008,Weapons violation_2009,Weapons violation_2010,Weapons violation_2011,Weapons violation_2012,Weapons violation_2013,Weapons violation_2014,Weapons violation_2015,Weapons violation_2016,Weapons violation_2017,Violent_2001,Violent_2002,Violent_2003,Violent_2004,Violent_2005,Violent_2006,Violent_2007,Violent_2008,Violent_2009,Violent_2010,Violent_2011,Violent_2012,Violent_2013,Violent_2014,Violent_2015,Violent_2016,Violent_2017,Property_2001,Property_2002,Property_2003,Property_2004,Property_2005,Property_2006,Property_2007,Property_2008,Property_2009,Property_2010,Property_2011,Property_2012,Property_2013,Property_2014,Property_2015,Property_2016,Property_2017,Index_2001,Index_2002,Index_2003,Index_2004,Index_2005,Index_2006,Index_2007,Index_2008,Index_2009,Index_2010,Index_2011,Index_2012,Index_2013,Index_2014,Index_2015,Index_2016,Index_2017,Public_2001,Public_2002,Public_2003,Public_2004,Public_2005,Public_2006,Public_2007,Public_2008,Public_2009,Public_2010,Public_2011,Public_2012,Public_2013,Public_2014,Public_2015,Public_2016,Public_2017
1.0,562.0,429.0,392.0,342.0,293.0,290.0,222.0,213.0,212.0,232.0,169.0,167.0,151.0,133.0,129.0,175.0,83.0,24.0,33.0,30.0,16.0,15.0,17.0,16.0,14.0,9.0,16.0,12.0,11.0,8.0,6.0,8.0,4.0,3.0,831.0,700.0,635.0,572.0,593.0,523.0,542.0,602.0,658.0,564.0,561.0,528.0,492.0,413.0,268.0,323.0,184.0,38.0,38.0,32.0,26.0,31.0,23.0,23.0,18.0,24.0,20.0,27.0,28.0,18.0,17.0,17.0,23.0,11.0,658.0,648.0,731.0,712.0,623.0,642.0,573.0,557.0,422.0,412.0,291.0,294.0,200.0,130.0,114.0,34.0,16.0,13.0,14.0,12.0,4.0,4.0,6.0,8.0,5.0,12.0,4.0,2.0,5.0,5.0,3.0,3.0,7.0,1.0,2764.0,2950.0,3007.0,2718.0,2327.0,2418.0,2250.0,2490.0,2258.0,2312.0,2122.0,2013.0,1806.0,1611.0,1664.0,1873.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.0,593.0,500.0,501.0,457.0,395.0,362.0,336.0,348.0,400.0,415.0,359.0,280.0,179.0,219.0,259.0,125.0,517.0,410.0,411.0,361.0,344.0,285.0,262.0,273.0,282.0,282.0,237.0,253.0,205.0,141.0,140.0,215.0,102.0,12.0,11.0,8.0,9.0,5.0,5.0,2.0,0.0,2.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,3.0,1130.0,891.0,847.0,733.0,672.0,604.0,515.0,509.0,530.0,538.0,435.0,453.0,379.0,294.0,289.0,420.0,197.0,4355.0,4276.0,4172.0,3807.0,3392.0,3353.0,3170.0,3442.0,3273.0,3292.0,3110.0,2911.0,2586.0,2209.0,2159.0,2459.0,1278.0,5485.0,5167.0,5019.0,4540.0,4064.0,3957.0,3685.0,3951.0,3803.0,3830.0,3545.0,3364.0,2965.0,2503.0,2448.0,2879.0,1475.0,397.0,341.0,310.0,241.0,206.0,197.0,129.0,147.0,157.0,159.0,119.0,154.0,113.0,79.0,116.0,180.0,73.0
2.0,230.0,131.0,159.0,117.0,120.0,140.0,130.0,122.0,95.0,101.0,103.0,81.0,63.0,83.0,62.0,114.0,45.0,7.0,10.0,10.0,9.0,7.0,5.0,7.0,3.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,7.0,1.0,472.0,447.0,455.0,445.0,433.0,419.0,373.0,414.0,372.0,303.0,387.0,363.0,275.0,235.0,184.0,210.0,93.0,27.0,18.0,26.0,17.0,17.0,16.0,14.0,12.0,13.0,15.0,20.0,18.0,16.0,26.0,20.0,25.0,7.0,196.0,191.0,160.0,152.0,156.0,213.0,140.0,149.0,130.0,148.0,145.0,99.0,71.0,68.0,67.0,41.0,20.0,5.0,3.0,4.0,7.0,6.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,3392.0,3105.0,3247.0,2853.0,2553.0,2759.0,2760.0,2932.0,2802.0,2896.0,2469.0,2437.0,2253.0,1991.0,1925.0,2380.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,295.0,299.0,262.0,235.0,243.0,241.0,283.0,194.0,229.0,236.0,175.0,175.0,109.0,118.0,158.0,84.0,286.0,264.0,240.0,193.0,212.0,202.0,197.0,200.0,171.0,206.0,224.0,188.0,116.0,111.0,114.0,170.0,86.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,548.0,416.0,429.0,334.0,355.0,360.0,341.0,334.0,280.0,322.0,349.0,288.0,195.0,221.0,198.0,312.0,139.0,4212.0,3857.0,4011.0,3569.0,3228.0,3426.0,3381.0,3632.0,3373.0,3432.0,3096.0,2977.0,2704.0,2338.0,2232.0,2755.0,1334.0,4760.0,4273.0,4440.0,3903.0,3583.0,3786.0,3722.0,3966.0,3653.0,3754.0,3445.0,3265.0,2899.0,2559.0,2430.0,3067.0,1473.0,173.0,144.0,120.0,93.0,94.0,73.0,57.0,67.0,77.0,69.0,69.0,75.0,46.0,52.0,58.0,94.0,33.0
3.0,1477.0,1042.0,813.0,779.0,735.0,647.0,588.0,552.0,458.0,385.0,385.0,351.0,358.0,333.0,363.0,405.0,183.0,21.0,33.0,19.0,13.0,9.0,13.0,7.0,5.0,10.0,11.0,5.0,6.0,5.0,4.0,8.0,5.0,3.0,620.0,791.0,632.0,614.0,650.0,619.0,482.0,502.0,534.0,403.0,463.0,369.0,307.0,281.0,260.0,239.0,137.0,95.0,63.0,59.0,68.0,51.0,50.0,54.0,40.0,44.0,35.0,42.0,35.0,33.0,32.0,33.0,36.0,15.0,4560.0,3384.0,3389.0,3001.0,2465.0,2223.0,1546.0,1796.0,1331.0,1125.0,932.0,751.0,944.0,647.0,336.0,176.0,57.0,35.0,24.0,28.0,16.0,13.0,14.0,17.0,18.0,13.0,15.0,13.0,16.0,9.0,7.0,18.0,22.0,17.0,2749.0,2523.0,2583.0,2784.0,2307.0,2517.0,2276.0,2141.0,1860.0,2007.0,1992.0,1920.0,1878.0,1544.0,1438.0,1576.0,694.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,656.0,662.0,608.0,633.0,684.0,429.0,423.0,374.0,500.0,511.0,391.0,310.0,272.0,265.0,282.0,157.0,835.0,716.0,661.0,610.0,536.0,606.0,524.0,545.0,426.0,380.0,507.0,439.0,404.0,360.0,318.0,361.0,182.0,8.0,2.0,3.0,1.0,7.0,3.0,1.0,11.0,3.0,3.0,1.0,7.0,4.0,7.0,1.0,7.0,7.0,2442.0,1845.0,1561.0,1473.0,1335.0,1317.0,1183.0,1155.0,941.0,815.0,947.0,841.0,804.0,732.0,732.0,824.0,397.0,4174.0,4003.0,3896.0,4019.0,3599.0,3833.0,3194.0,3071.0,2778.0,2921.0,2971.0,2686.0,2500.0,2101.0,1971.0,2102.0,991.0,6616.0,5848.0,5457.0,5492.0,4934.0,5150.0,4377.0,4226.0,3719.0,3736.0,3918.0,3527.0,3304.0,2833.0,2703.0,2926.0,1388.0,748.0,594.0,524.0,451.0,380.0,369.0,355.0,420.0,316.0,235.0,299.0,281.0,268.0,285.0,297.0,379.0,164.0
4.0,581.0,486.0,400.0,442.0,475.0,470.0,385.0,264.0,256.0,239.0,234.0,255.0,168.0,202.0,216.0,232.0,125.0,12.0,13.0,13.0,10.0,11.0,11.0,4.0,7.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,1.0,431.0,513.0,501.0,517.0,530.0,528.0,398.0,342.0,412.0,408.0,380.0,315.0,247.0,213.0,159.0,205.0,75.0,58.0,54.0,46.0,58.0,42.0,36.0,33.0,29.0,23.0,21.0,28.0,39.0,23.0,28.0,29.0,41.0,12.0,932.0,865.0,719.0,1094.0,1237.0,965.0,1561.0,1089.0,647.0,673.0,553.0,389.0,469.0,301.0,219.0,85.0,27.0,10.0,11.0,1.0,15.0,9.0,1.0,4.0,5.0,10.0,3.0,6.0,6.0,8.0,6.0,9.0,12.0,5.0,3226.0,2795.0,2860.0,2790.0,2652.0,2554.0,2581.0,2478.0,2364.0,2379.0,2287.0,2188.0,1997.0,1830.0,1985.0,2123.0,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,491.0,458.0,474.0,550.0,463.0,370.0,357.0,305.0,340.0,303.0,261.0,238.0,246.0,222.0,213.0,119.0,447.0,397.0,409.0,369.0,432.0,372.0,373.0,304.0,331.0,287.0,285.0,312.0,262.0,277.0,274.0,347.0,175.0,6.0,1.0,2.0,4.0,5.0,3.0,5.0,6.0,4.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,4.0,1096.0,948.0,856.0,884.0,958.0,879.0,795.0,602.0,620.0,550.0,553.0,612.0,461.0,513.0,528.0,632.0,317.0,4193.0,3812.0,3832.0,3791.0,3743.0,3556.0,3353.0,3184.0,3083.0,3133.0,2976.0,2766.0,2484.0,2295.0,2372.0,2545.0,1287.0,5289.0,4760.0,4688.0,4675.0,4701.0,4435.0,4148.0,3786.0,3703.0,3683.0,3529.0,3378.0,2945.0,2808.0,2900.0,3177.0,1604.0,345.0,262.0,269.0,254.0,267.0,241.0,238.0,211.0,224.0,130.0,193.0,209.0,134.0,197.0,221.0,254.0,109.0
5.0,521.0,498.0,432.0,436.0,422.0,362.0,458.0,373.0,351.0,349.0,290.0,303.0,298.0,283.0,305.0,320.0,154.0,15.0,14.0,17.0,15.0,15.0,13.0,14.0,3.0,2.0,8.0,6.0,3.0,7.0,3.0,1.0,3.0,2.0,527.0,575.0,652.0,690.0,762.0,694.0,600.0,659.0,762.0,672.0,837.0,658.0,646.0,396.0,400.0,440.0,172.0,68.0,45.0,48.0,52.0,40.0,40.0,50.0,40.0,46.0,40.0,34.0,36.0,33.0,36.0,33.0,30.0,22.0,521.0,523.0,567.0,733.0,671.0,749.0,730.0,585.0,642.0,725.0,607.0,642.0,500.0,389.0,279.0,123.0,43.0,13.0,14.0,15.0,9.0,17.0,16.0,9.0,13.0,8.0,7.0,8.0,6.0,13.0,7.0,7.0,16.0,6.0,2527.0,2367.0,2241.0,2206.0,2018.0,1761.0,1921.0,1785.0,1712.0,1755.0,1748.0,1689.0,1654.0,1203.0,1257.0,1145.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,546.0,513.0,594.0,589.0,556.0,463.0,433.0,328.0,405.0,406.0,282.0,248.0,198.0,240.0,229.0,110.0,494.0,466.0,468.0,475.0,543.0,470.0,575.0,452.0,465.0,359.0,406.0,423.0,307.0,254.0,260.0,318.0,166.0,3.0,3.0,2.0,7.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,5.0,1.0,1.0,1096.0,1023.0,963.0,972.0,1022.0,888.0,1092.0,878.0,870.0,755.0,738.0,768.0,651.0,580.0,605.0,684.0,348.0,3767.0,3502.0,3423.0,3505.0,3384.0,3024.0,2998.0,2880.0,2804.0,2840.0,2997.0,2632.0,2555.0,1800.0,1898.0,1817.0,825.0,4863.0,4525.0,4386.0,4477.0,4406.0,3912.0,4090.0,3758.0,3674.0,3595.0,3735.0,3400.0,3206.0,2380.0,2503.0,2501.0,1173.0,420.0,453.0,377.0,333.0,361.0,309.0,409.0,359.0,319.0,252.0,289.0,319.0,201.0,219.0,216.0,290.0,152.0
6.0,1095.0,1025.0,854.0,932.0,865.0,840.0,886.0,897.0,786.0,751.0,659.0,607.0,524.0,512.0,578.0,632.0,321.0,32.0,34.0,37.0,27.0,24.0,26.0,21.0,30.0,21.0,22.0,20.0,12.0,19.0,20.0,18.0,19.0,6.0,932.0,727.0,788.0,1161.0,1016.0,1034.0,1053.0,1175.0,1310.0,1190.0,1007.0,826.0,670.0,555.0,632.0,495.0,228.0,91.0,85.0,100.0,86.0,94.0,81.0,76.0,66.0,62.0,59.0,73.0,68.0,55.0,44.0,46.0,38.0,29.0,955.0,1091.0,1321.0,1689.0,1561.0,1692.0,2093.0,1738.0,1362.0,1499.0,1395.0,1400.0,1181.0,845.0,771.0,348.0,142.0,25.0,30.0,17.0,25.0,30.0,22.0,31.0,32.0,23.0,21.0,33.0,21.0,23.0,24.0,25.0,42.0,20.0,2487.0,2263.0,2440.0,2232.0,2101.0,2189.0,2021.0,2044.0,1823.0,1895.0,1804.0,2053.0,1880.0,1499.0,1353.0,1283.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,928.0,927.0,995.0,1000.0,1042.0,839.0,867.0,638.0,832.0,793.0,619.0,498.0,343.0,347.0,313.0,148.0,827.0,887.0,830.0,773.0,738.0,771.0,869.0,956.0,923.0,748.0,719.0,743.0,616.0,435.0,425.0,496.0,215.0,9.0,7.0,3.0,7.0,1.0,5.0,13.0,10.0,4.0,9.0,7.0,7.0,13.0,6.0,4.0,10.0,9.0,2038.0,2027.0,1801.0,1816.0,1727.0,1714.0,1862.0,1951.0,1794.0,1579.0,1484.0,1439.0,1218.0,1015.0,1074.0,1208.0,585.0,4462.0,3952.0,4192.0,4415.0,4141.0,4291.0,3934.0,4116.0,3792.0,3939.0,3624.0,3510.0,3067.0,2417.0,2350.0,2110.0,982.0,6500.0,5979.0,5993.0,6231.0,5868.0,6005.0,5796.0,6067.0,5586.0,5518.0,5108.0,4949.0,4285.0,3432.0,3424.0,3318.0,1567.0,767.0,847.0,752.0,713.0,665.0,683.0,799.0,810.0,787.0,657.0,687.0,631.0,525.0,456.0,435.0,593.0,275.0
7.0,813.0,829.0,679.0,657.0,585.0,625.0,695.0,696.0,666.0,667.0,573.0,575.0,469.0,459.0,443.0,483.0,271.0,20.0,18.0,28.0,17.0,21.0,11.0,20.0,16.0,14.0,14.0,19.0,22.0,14.0,14.0,14.0,9.0,6.0,734.0,654.0,683.0,732.0,797.0,834.0,854.0,1022.0,1086.0,1141.0,1244.0,1008.0,877.0,559.0,667.0,511.0,208.0,75.0,68.0,84.0,58.0,63.0,62.0,80.0,43.0,46.0,59.0,56.0,48.0,45.0,53.0,43.0,42.0,27.0,1050.0,1103.0,1117.0,1445.0,1278.0,1704.0,1373.0,1430.0,1677.0,1083.0,1131.0,948.0,841.0,868.0,685.0,203.0,76.0,21.0,15.0,23.0,21.0,12.0,23.0,12.0,29.0,18.0,18.0,15.0,28.0,21.0,20.0,14.0,25.0,21.0,2023.0,1873.0,2051.0,1730.0,1644.0,1871.0,1768.0,1703.0,1369.0,1455.0,1521.0,1562.0,1413.0,1277.0,1119.0,958.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,652.0,671.0,691.0,586.0,667.0,553.0,495.0,422.0,466.0,583.0,355.0,305.0,271.0,246.0,257.0,150.0,438.0,513.0,522.0,474.0,490.0,512.0,583.0,564.0,480.0,400.0,450.0,424.0,366.0,352.0,299.0,344.0,137.0,11.0,1.0,2.0,3.0,2.0,5.0,1.0,9.0,3.0,3.0,2.0,9.0,6.0,6.0,4.0,6.0,1.0,1347.0,1425.0,1308.0,1210.0,1150.0,1222.0,1370.0,1332.0,1210.0,1144.0,1094.0,1075.0,901.0,884.0,799.0,894.0,456.0,3426.0,3197.0,3433.0,3170.0,3048.0,3383.0,3195.0,3236.0,2891.0,3076.0,3367.0,2947.0,2609.0,2121.0,2046.0,1735.0,795.0,4773.0,4622.0,4741.0,4380.0,4198.0,4605.0,4565.0,4568.0,4101.0,4220.0,4461.0,4022.0,3510.0,3005.0,2845.0,2629.0,1251.0,516.0,567.0,522.0,431.0,430.0,409.0,465.0,560.0,526.0,401.0,457.0,452.0,369.0,356.0,307.0,393.0,165.0
8.0,785.0,700.0,667.0,685.0,644.0,607.0,755.0,708.0,624.0,556.0,500.0,488.0,445.0,426.0,432.0,498.0,241.0,28.0,32.0,25.0,14.0,23.0,17.0,21.0,23.0,19.0,11.0,9.0,10.0,8.0,11.0,11.0,12.0,12.0,705.0,650.0,774.0,903.0,857.0,799.0,922.0,1141.0,979.0,1076.0,1011.0,853.0,738.0,530.0,535.0,494.0,239.0,58.0,67.0,61.0,80.0,69.0,61.0,77.0,68.0,74.0,55.0,51.0,51.0,50.0,51.0,39.0,42.0,27.0,774.0,819.0,952.0,1286.0,1242.0,1358.0,1877.0,1280.0,1260.0,1122.0,966.0,850.0,805.0,759.0,531.0,232.0,78.0,27.0,29.0,29.0,10.0,20.0,20.0,28.0,15.0,18.0,20.0,17.0,22.0,23.0,18.0,22.0,21.0,10.0,2523.0,2487.0,2767.0,2526.0,2434.0,2537.0,2272.0,2438.0,2100.0,1936.0,2351.0,2211.0,2080.0,1795.0,1529.0,1319.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,763.0,831.0,917.0,752.0,946.0,791.0,688.0,546.0,583.0,676.0,453.0,421.0,315.0,293.0,337.0,195.0,639.0,681.0,687.0,710.0,622.0,710.0,739.0,866.0,706.0,570.0,612.0,562.0,485.0,421.0,330.0,384.0,192.0,4.0,4.0,8.0,5.0,2.0,2.0,4.0,3.0,6.0,6.0,5.0,7.0,5.0,3.0,7.0,6.0,7.0,1509.0,1477.0,1444.0,1485.0,1355.0,1398.0,1599.0,1657.0,1422.0,1201.0,1180.0,1123.0,1003.0,916.0,823.0,945.0,470.0,4060.0,3932.0,4397.0,4360.0,4066.0,4299.0,4006.0,4290.0,3644.0,3606.0,4047.0,3527.0,3247.0,2651.0,2368.0,2162.0,1146.0,5569.0,5409.0,5841.0,5845.0,5421.0,5697.0,5605.0,5947.0,5066.0,4807.0,5227.0,4650.0,4250.0,3567.0,3191.0,3107.0,1616.0,665.0,639.0,635.0,580.0,533.0,528.0,625.0,716.0,585.0,437.0,492.0,502.0,388.0,371.0,324.0,447.0,224.0
9.0,1017.0,895.0,850.0,747.0,645.0,623.0,649.0,646.0,594.0,512.0,531.0,502.0,401.0,403.0,405.0,507.0,229.0,24.0,30.0,30.0,24.0,20.0,21.0,22.0,33.0,23.0,16.0,12.0,18.0,10.0,7.0,16.0,18.0,15.0,673.0,622.0,649.0,621.0,645.0,616.0,844.0,781.0,895.0,841.0,856.0,699.0,602.0,473.0,498.0,472.0,190.0,78.0,77.0,77.0,66.0,73.0,54.0,57.0,69.0,54.0,49.0,65.0,61.0,45.0,44.0,29.0,45.0,23.0,869.0,851.0,881.0,1101.0,1254.0,1377.0,1683.0,1144.0,979.0,1041.0,981.0,982.0,789.0,626.0,451.0,276.0,121.0,25.0,22.0,27.0,13.0,21.0,30.0,26.0,25.0,13.0,17.0,15.0,19.0,13.0,9.0,18.0,25.0,14.0,1904.0,1745.0,1772.0,1795.0,1615.0,1662.0,1683.0,1886.0,1669.0,1560.0,1593.0,1534.0,1451.0,1380.0,1061.0,1048.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,499.0,553.0,632.0,720.0,780.0,622.0,608.0,449.0,603.0,661.0,460.0,353.0,250.0,269.0,292.0,139.0,519.0,506.0,491.0,497.0,543.0,562.0,539.0,521.0,458.0,453.0,409.0,414.0,462.0,353.0,263.0,359.0,140.0,5.0,3.0,8.0,4.0,4.0,3.0,8.0,4.0,12.0,5.0,3.0,4.0,2.0,2.0,6.0,15.0,4.0,1639.0,1500.0,1445.0,1323.0,1282.0,1269.0,1271.0,1261.0,1119.0,1031.0,1020.0,996.0,921.0,809.0,715.0,936.0,406.0,3258.0,2896.0,3004.0,3072.0,3000.0,3079.0,3171.0,3308.0,3036.0,3020.0,3122.0,2711.0,2416.0,2110.0,1844.0,1830.0,936.0,4897.0,4396.0,4449.0,4395.0,4282.0,4348.0,4442.0,4569.0,4155.0,4051.0,4142.0,3707.0,3337.0,2919.0,2559.0,2766.0,1342.0,616.0,553.0,598.0,488.0,467.0,488.0,543.0,573.0,520.0,439.0,431.0,440.0,387.0,365.0,321.0,490.0,181.0
10.0,414.0,402.0,377.0,371.0,306.0,360.0,334.0,337.0,334.0,334.0,326.0,321.0,209.0,238.0,262.0,262.0,133.0,23.0,20.0,35.0,16.0,16.0,17.0,23.0,10.0,14.0,9.0,9.0,6.0,8.0,7.0,14.0,11.0,2.0,363.0,381.0,446.0,376.0,450.0,498.0,528.0,536.0,558.0,589.0,557.0,492.0,362.0,308.0,210.0,195.0,77.0,36.0,40.0,36.0,28.0,24.0,26.0,26.0,27.0,26.0,35.0,37.0,29.0,25.0,21.0,24.0,13.0,9.0,623.0,477.0,590.0,790.0,616.0,726.0,690.0,559.0,680.0,494.0,529.0,435.0,434.0,478.0,287.0,120.0,35.0,16.0,17.0,8.0,7.0,5.0,8.0,8.0,12.0,16.0,6.0,5.0,10.0,4.0,10.0,6.0,9.0,5.0,1112.0,1092.0,1187.0,1377.0,1091.0,1171.0,1162.0,1110.0,1002.0,994.0,1109.0,934.0,925.0,895.0,766.0,728.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,309.0,358.0,402.0,297.0,342.0,288.0,274.0,224.0,267.0,238.0,256.0,199.0,129.0,108.0,151.0,91.0,171.0,205.0,187.0,198.0,200.0,178.0,221.0,211.0,169.0,184.0,180.0,185.0,155.0,99.0,129.0,126.0,44.0,10.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,4.0,3.0,1.0,2.0,5.0,0.0,3.0,637.0,664.0,608.0,604.0,535.0,572.0,589.0,587.0,545.0,559.0,548.0,545.0,393.0,368.0,421.0,410.0,191.0,1868.0,1802.0,2026.0,2171.0,1854.0,2028.0,2001.0,1930.0,1798.0,1859.0,1913.0,1688.0,1494.0,1339.0,1098.0,1085.0,514.0,2505.0,2466.0,2634.0,2775.0,2389.0,2600.0,2590.0,2517.0,2343.0,2418.0,2461.0,2233.0,1887.0,1707.0,1519.0,1495.0,705.0,259.0,293.0,277.0,243.0,203.0,230.0,210.0,192.0,213.0,197.0,184.0,212.0,138.0,146.0,172.0,140.0,84.0
