,Aggravated assault/battery_2006,Aggravated assault/battery_2007,Aggravated assault/battery_2008,Aggravated assault/battery_2009,Aggravated assault/battery_2010,Aggravated assault/battery_2011,Aggravated assault/battery_2012,Aggravated assault/battery_2013,Aggravated assault/battery_2014,Aggravated assault/battery_2015,Aggravated assault/battery_2016,Arson_2006,Arson_2007,Arson_2008,Arson_2009,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Arson_2016,Burglary_2006,Burglary_2007,Burglary_2008,Burglary_2009,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,Burglary_2016,Criminal sexual assault_2006,Criminal sexual assault_2007,Criminal sexual assault_2008,Criminal sexual assault_2009,Criminal sexual assault_2010,Criminal sexual assault_2011,Criminal sexual assault_2012,Criminal sexual assault_2013,Criminal sexual assault_2014,Criminal sexual assault_2015,Criminal sexual assault_2016,Drug abuse_2006,Drug abuse_2007,Drug abuse_2008,Drug abuse_2009,Drug abuse_2010,Drug abuse_2011,Drug abuse_2012,Drug abuse_2013,Drug abuse_2014,Drug abuse_2015,Drug abuse_2016,Homicide_2006,Homicide_2007,Homicide_2008,Homicide_2009,Homicide_2010,Homicide_2011,Homicide_2012,Homicide_2013,Homicide_2014,Homicide_2015,Homicide_2016,Larceny_2006,Larceny_2007,Larceny_2008,Larceny_2009,Larceny_2010,Larceny_2011,Larceny_2012,Larceny_2013,Larceny_2014,Larceny_2015,Larceny_2016,Manslaughter_2006,Manslaughter_2007,Manslaughter_2008,Manslaughter_2009,Manslaughter_2010,Manslaughter_2011,Manslaughter_2012,Manslaughter_2013,Manslaughter_2014,Manslaughter_2015,Manslaughter_2016,Motor vehicle theft_2006,Motor vehicle theft_2007,Motor vehicle theft_2008,Motor vehicle theft_2009,Motor vehicle theft_2010,Motor vehicle theft_2011,Motor vehicle theft_2012,Motor vehicle theft_2013,Motor vehicle theft_2014,Motor vehicle theft_2015,Motor vehicle theft_2016,Robbery_2006,Robbery_2007,Robbery_2008,Robbery_2009,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,Robbery_2016,Weapons violation_2006,Weapons violation_2007,Weapons violation_2008,Weapons violation_2009,Weapons violation_2010,Weapons violation_2011,Weapons violation_2012,Weapons violation_2013,Weapons violation_2014,Weapons violation_2015,Weapons violation_2016,Violent_2006,Violent_2007,Violent_2008,Violent_2009,Violent_2010,Violent_2011,Violent_2012,Violent_2013,Violent_2014,Violent_2015,Violent_2016,Property_2006,Property_2007,Property_2008,Property_2009,Property_2010,Property_2011,Property_2012,Property_2013,Property_2014,Property_2015,Property_2016,Index_2006,Index_2007,Index_2008,Index_2009,Index_2010,Index_2011,Index_2012,Index_2013,Index_2014,Index_2015,Index_2016,Public_2006,Public_2007,Public_2008,Public_2009,Public_2010,Public_2011,Public_2012,Public_2013,Public_2014,Public_2015,Public_2016
1.0,95.0,91.0,93.0,86.0,74.0,91.0,106.0,85.0,81.0,87.0,83.0,11.0,3.0,8.0,9.0,5.0,3.0,5.0,3.0,9.0,1.0,1.0,265.0,240.0,195.0,225.0,179.0,173.0,202.0,186.0,191.0,154.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,39.0,52.0,39.0,58.0,50.0,84.0,87.0,78.0,205.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3565.0,3642.0,3581.0,3426.0,3358.0,3617.0,3766.0,3506.0,3122.0,3212.0,3319.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,63.0,58.0,51.0,39.0,55.0,42.0,26.0,30.0,20.0,50.0,124.0,133.0,115.0,106.0,102.0,106.0,90.0,77.0,54.0,86.0,63.0,22.0,43.0,57.0,55.0,56.0,61.0,52.0,41.0,49.0,52.0,44.0,220.0,224.0,209.0,194.0,178.0,197.0,196.0,162.0,135.0,174.0,146.0,3913.0,3948.0,3842.0,3711.0,3581.0,3848.0,4015.0,3721.0,3352.0,3387.0,3508.0,4133.0,4172.0,4051.0,3905.0,3759.0,4045.0,4211.0,3883.0,3487.0,3561.0,3654.0,242.0,267.0,267.0,250.0,235.0,258.0,248.0,203.0,184.0,226.0,190.0
5.0,93.0,112.0,137.0,147.0,120.0,118.0,138.0,138.0,120.0,133.0,122.0,3.0,1.0,12.0,13.0,5.0,6.0,10.0,14.0,9.0,7.0,7.0,135.0,115.0,138.0,134.0,118.0,112.0,127.0,85.0,95.0,80.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,101.0,92.0,111.0,85.0,69.0,93.0,94.0,86.0,86.0,105.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1079.0,1040.0,1158.0,1095.0,1169.0,1012.0,1120.0,1299.0,1218.0,1167.0,1174.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,18.0,20.0,13.0,26.0,20.0,14.0,25.0,19.0,7.0,104.0,130.0,113.0,113.0,92.0,111.0,100.0,88.0,67.0,86.0,97.0,50.0,50.0,64.0,48.0,53.0,40.0,32.0,45.0,42.0,59.0,52.0,198.0,244.0,252.0,261.0,213.0,229.0,241.0,229.0,189.0,220.0,219.0,1253.0,1192.0,1326.0,1262.0,1305.0,1156.0,1277.0,1412.0,1347.0,1273.0,1261.0,1451.0,1436.0,1578.0,1523.0,1518.0,1385.0,1518.0,1641.0,1536.0,1493.0,1480.0,248.0,294.0,316.0,310.0,266.0,269.0,273.0,274.0,231.0,279.0,271.0
6.0,110.0,112.0,91.0,95.0,81.0,103.0,108.0,123.0,105.0,92.0,102.0,3.0,3.0,4.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,267.0,205.0,278.0,236.0,174.0,184.0,148.0,141.0,171.0,153.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,560.0,359.0,312.0,335.0,496.0,370.0,332.0,344.0,193.0,140.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2539.0,2569.0,2747.0,2643.0,2367.0,2143.0,2275.0,2606.0,2149.0,2313.0,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,79.0,41.0,38.0,46.0,48.0,34.0,34.0,41.0,33.0,33.0,218.0,209.0,191.0,150.0,136.0,150.0,139.0,129.0,90.0,117.0,109.0,36.0,57.0,24.0,40.0,31.0,33.0,50.0,54.0,68.0,59.0,57.0,330.0,326.0,282.0,245.0,218.0,254.0,247.0,254.0,197.0,209.0,211.0,2878.0,2856.0,3070.0,2917.0,2588.0,2378.0,2459.0,2783.0,2361.0,2500.0,2080.0,3208.0,3182.0,3352.0,3162.0,2806.0,2632.0,2706.0,3037.0,2558.0,2709.0,2291.0,366.0,383.0,306.0,285.0,249.0,287.0,297.0,308.0,265.0,268.0,268.0
7.0,102.0,118.0,86.0,125.0,124.0,119.0,113.0,105.0,152.0,141.0,148.0,3.0,13.0,13.0,6.0,12.0,10.0,9.0,11.0,29.0,17.0,6.0,128.0,119.0,108.0,77.0,105.0,95.0,114.0,70.0,62.0,90.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,393.0,364.0,417.0,353.0,354.0,338.0,247.0,270.0,298.0,360.0,2.0,2.0,3.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,911.0,902.0,1091.0,917.0,1004.0,836.0,987.0,925.0,943.0,1007.0,1108.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,55.0,76.0,45.0,50.0,41.0,32.0,25.0,28.0,29.0,35.0,169.0,208.0,175.0,157.0,121.0,127.0,143.0,139.0,110.0,103.0,126.0,111.0,119.0,81.0,121.0,121.0,125.0,142.0,118.0,87.0,87.0,69.0,273.0,328.0,264.0,284.0,246.0,252.0,256.0,245.0,262.0,245.0,274.0,1123.0,1089.0,1288.0,1045.0,1171.0,982.0,1142.0,1031.0,1062.0,1143.0,1208.0,1396.0,1417.0,1552.0,1329.0,1417.0,1234.0,1398.0,1276.0,1324.0,1388.0,1482.0,384.0,447.0,345.0,405.0,368.0,377.0,398.0,363.0,349.0,332.0,343.0
9.0,149.0,168.0,154.0,152.0,149.0,138.0,167.0,154.0,153.0,131.0,175.0,9.0,3.0,7.0,7.0,11.0,12.0,13.0,9.0,16.0,15.0,10.0,264.0,190.0,217.0,274.0,215.0,211.0,188.0,165.0,134.0,130.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,395.0,472.0,351.0,396.0,550.0,535.0,440.0,361.0,427.0,394.0,1.0,0.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,1863.0,1774.0,1940.0,2020.0,2007.0,1937.0,1940.0,2057.0,1857.0,1750.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,90.0,92.0,66.0,50.0,52.0,61.0,47.0,34.0,46.0,46.0,236.0,186.0,214.0,179.0,184.0,173.0,166.0,130.0,98.0,118.0,150.0,116.0,220.0,150.0,215.0,136.0,96.0,97.0,90.0,78.0,84.0,92.0,386.0,354.0,371.0,335.0,337.0,312.0,334.0,286.0,252.0,250.0,329.0,2213.0,2057.0,2256.0,2367.0,2283.0,2212.0,2202.0,2278.0,2041.0,1941.0,2033.0,2599.0,2411.0,2627.0,2702.0,2620.0,2524.0,2536.0,2564.0,2293.0,2191.0,2362.0,502.0,574.0,521.0,550.0,473.0,408.0,431.0,376.0,330.0,334.0,421.0
10.0,160.0,167.0,178.0,137.0,140.0,96.0,95.0,104.0,128.0,126.0,108.0,6.0,7.0,5.0,10.0,10.0,2.0,5.0,10.0,8.0,11.0,6.0,187.0,114.0,138.0,120.0,120.0,141.0,107.0,117.0,89.0,81.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,228.0,251.0,195.0,216.0,299.0,317.0,350.0,335.0,314.0,279.0,3.0,0.0,4.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1907.0,1713.0,1806.0,1664.0,1616.0,1721.0,1919.0,1919.0,1738.0,1637.0,1604.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,64.0,55.0,47.0,49.0,44.0,26.0,40.0,32.0,30.0,29.0,185.0,153.0,181.0,149.0,137.0,157.0,130.0,119.0,101.0,117.0,106.0,99.0,141.0,163.0,112.0,62.0,73.0,59.0,80.0,68.0,65.0,73.0,348.0,320.0,363.0,287.0,277.0,256.0,227.0,224.0,229.0,244.0,214.0,2180.0,1898.0,2004.0,1841.0,1795.0,1908.0,2057.0,2086.0,1867.0,1759.0,1727.0,2528.0,2218.0,2367.0,2128.0,2072.0,2164.0,2284.0,2310.0,2096.0,2003.0,1941.0,447.0,461.0,526.0,400.0,339.0,329.0,286.0,304.0,298.0,309.0,287.0
13.0,139.0,195.0,162.0,153.0,128.0,123.0,121.0,126.0,170.0,186.0,155.0,6.0,6.0,6.0,7.0,4.0,3.0,7.0,8.0,10.0,7.0,5.0,437.0,355.0,363.0,351.0,264.0,257.0,198.0,229.0,269.0,267.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,141.0,111.0,100.0,119.0,120.0,104.0,93.0,87.0,130.0,122.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,3682.0,4025.0,3955.0,3865.0,3642.0,3563.0,3713.0,4008.0,3639.0,3853.0,3570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,78.0,82.0,61.0,47.0,39.0,33.0,47.0,52.0,52.0,24.0,289.0,233.0,219.0,180.0,188.0,183.0,181.0,126.0,131.0,155.0,122.0,72.0,93.0,110.0,89.0,89.0,72.0,52.0,71.0,79.0,164.0,187.0,430.0,431.0,382.0,334.0,319.0,308.0,303.0,253.0,301.0,343.0,278.0,4212.0,4464.0,4406.0,4284.0,3957.0,3862.0,3951.0,4292.0,3970.0,4179.0,3785.0,4642.0,4895.0,4788.0,4618.0,4276.0,4170.0,4254.0,4545.0,4271.0,4522.0,4063.0,502.0,524.0,492.0,423.0,408.0,380.0,355.0,324.0,380.0,507.0,465.0
14.0,175.0,187.0,158.0,157.0,171.0,171.0,182.0,169.0,152.0,172.0,184.0,3.0,12.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,632.0,545.0,472.0,430.0,350.0,331.0,322.0,350.0,290.0,305.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,362.0,202.0,218.0,274.0,337.0,547.0,495.0,439.0,355.0,520.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,6.0,2.0,7117.0,7332.0,7182.0,7301.0,7190.0,6851.0,6524.0,6734.0,6244.0,5959.0,5383.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,32.0,25.0,29.0,21.0,23.0,20.0,21.0,25.0,27.0,24.0,275.0,243.0,227.0,215.0,163.0,168.0,173.0,173.0,169.0,213.0,196.0,163.0,200.0,251.0,223.0,246.0,172.0,181.0,236.0,224.0,167.0,215.0,453.0,432.0,386.0,374.0,334.0,341.0,356.0,344.0,321.0,391.0,382.0,7786.0,7921.0,7684.0,7761.0,7563.0,7207.0,6867.0,7106.0,6562.0,6293.0,5657.0,8239.0,8353.0,8070.0,8135.0,7897.0,7548.0,7223.0,7450.0,6883.0,6684.0,6039.0,616.0,632.0,637.0,597.0,580.0,513.0,538.0,580.0,545.0,558.0,597.0
17.0,67.0,64.0,80.0,52.0,54.0,56.0,70.0,56.0,46.0,74.0,73.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,186.0,105.0,166.0,121.0,89.0,80.0,128.0,102.0,114.0,102.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,33.0,34.0,42.0,45.0,57.0,75.0,39.0,31.0,33.0,132.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1424.0,1263.0,1398.0,1293.0,1206.0,1183.0,1250.0,1397.0,1149.0,1157.0,1271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,38.0,46.0,30.0,30.0,19.0,23.0,19.0,27.0,43.0,23.0,84.0,79.0,72.0,52.0,47.0,52.0,42.0,48.0,58.0,43.0,56.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,7.0,14.0,4.0,9.0,153.0,144.0,153.0,104.0,101.0,108.0,113.0,104.0,104.0,118.0,130.0,1646.0,1408.0,1612.0,1445.0,1327.0,1283.0,1404.0,1521.0,1292.0,1303.0,1375.0,1799.0,1552.0,1765.0,1549.0,1428.0,1391.0,1517.0,1625.0,1396.0,1421.0,1505.0,162.0,152.0,163.0,114.0,111.0,116.0,122.0,111.0,118.0,122.0,139.0
18.0,151.0,149.0,147.0,108.0,134.0,112.0,136.0,161.0,166.0,164.0,183.0,10.0,1.0,11.0,9.0,4.0,7.0,3.0,5.0,3.0,10.0,2.0,301.0,287.0,264.0,254.0,221.0,205.0,193.0,193.0,240.0,231.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,286.0,178.0,389.0,481.0,533.0,370.0,359.0,237.0,344.0,470.0,3.0,1.0,3.0,1.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,3942.0,4009.0,4068.0,3970.0,3919.0,3762.0,4118.0,3991.0,4010.0,3890.0,3905.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,67.0,62.0,34.0,42.0,29.0,47.0,33.0,35.0,39.0,31.0,216.0,163.0,163.0,124.0,131.0,137.0,127.0,122.0,122.0,170.0,167.0,40.0,43.0,57.0,52.0,74.0,49.0,61.0,51.0,52.0,34.0,45.0,370.0,313.0,313.0,233.0,268.0,249.0,267.0,283.0,290.0,335.0,350.0,4316.0,4364.0,4405.0,4267.0,4186.0,4003.0,4361.0,4222.0,4288.0,4170.0,4161.0,4686.0,4677.0,4718.0,4500.0,4454.0,4252.0,4628.0,4505.0,4578.0,4505.0,4511.0,410.0,356.0,370.0,285.0,342.0,299.0,328.0,334.0,342.0,369.0,395.0
