,Aggravated assault/battery_2006,Aggravated assault/battery_2007,Aggravated assault/battery_2008,Aggravated assault/battery_2009,Aggravated assault/battery_2010,Aggravated assault/battery_2011,Aggravated assault/battery_2012,Aggravated assault/battery_2013,Aggravated assault/battery_2014,Aggravated assault/battery_2015,Aggravated assault/battery_2016,Arson_2006,Arson_2007,Arson_2008,Arson_2009,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Arson_2016,Burglary_2006,Burglary_2007,Burglary_2008,Burglary_2009,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,Burglary_2016,Criminal sexual assault_2006,Criminal sexual assault_2007,Criminal sexual assault_2008,Criminal sexual assault_2009,Criminal sexual assault_2010,Criminal sexual assault_2011,Criminal sexual assault_2012,Criminal sexual assault_2013,Criminal sexual assault_2014,Criminal sexual assault_2015,Criminal sexual assault_2016,Drug abuse_2006,Drug abuse_2007,Drug abuse_2008,Drug abuse_2009,Drug abuse_2010,Drug abuse_2011,Drug abuse_2012,Drug abuse_2013,Drug abuse_2014,Drug abuse_2015,Drug abuse_2016,Homicide_2006,Homicide_2007,Homicide_2008,Homicide_2009,Homicide_2010,Homicide_2011,Homicide_2012,Homicide_2013,Homicide_2014,Homicide_2015,Homicide_2016,Larceny_2006,Larceny_2007,Larceny_2008,Larceny_2009,Larceny_2010,Larceny_2011,Larceny_2012,Larceny_2013,Larceny_2014,Larceny_2015,Larceny_2016,Manslaughter_2006,Manslaughter_2007,Manslaughter_2008,Manslaughter_2009,Manslaughter_2010,Manslaughter_2011,Manslaughter_2012,Manslaughter_2013,Manslaughter_2014,Manslaughter_2015,Manslaughter_2016,Motor vehicle theft_2006,Motor vehicle theft_2007,Motor vehicle theft_2008,Motor vehicle theft_2009,Motor vehicle theft_2010,Motor vehicle theft_2011,Motor vehicle theft_2012,Motor vehicle theft_2013,Motor vehicle theft_2014,Motor vehicle theft_2015,Motor vehicle theft_2016,Robbery_2006,Robbery_2007,Robbery_2008,Robbery_2009,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,Robbery_2016,Weapons violation_2006,Weapons violation_2007,Weapons violation_2008,Weapons violation_2009,Weapons violation_2010,Weapons violation_2011,Weapons violation_2012,Weapons violation_2013,Weapons violation_2014,Weapons violation_2015,Weapons violation_2016,Violent_2006,Violent_2007,Violent_2008,Violent_2009,Violent_2010,Violent_2011,Violent_2012,Violent_2013,Violent_2014,Violent_2015,Violent_2016,Property_2006,Property_2007,Property_2008,Property_2009,Property_2010,Property_2011,Property_2012,Property_2013,Property_2014,Property_2015,Property_2016,Index_2006,Index_2007,Index_2008,Index_2009,Index_2010,Index_2011,Index_2012,Index_2013,Index_2014,Index_2015,Index_2016,Public_2006,Public_2007,Public_2008,Public_2009,Public_2010,Public_2011,Public_2012,Public_2013,Public_2014,Public_2015,Public_2016
36005000100.0,62.0,7.0,0.0,3.0,4.0,7.0,255.0,392.0,370.0,395.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,61.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,3.0,2.0,1.0,5.0,10.0,14.0,11.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,62.0,8.0,1.0,3.0,4.0,7.0,256.0,394.0,375.0,396.0,445.0,7.0,8.0,3.0,2.0,1.0,5.0,12.0,32.0,72.0,15.0,39.0,69.0,16.0,4.0,5.0,5.0,12.0,268.0,426.0,447.0,411.0,484.0,63.0,8.0,1.0,3.0,4.0,7.0,257.0,399.0,376.0,397.0,446.0
36005000200.0,8.0,6.0,8.0,5.0,10.0,6.0,9.0,11.0,9.0,13.0,10.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,5.0,6.0,12.0,10.0,3.0,4.0,12.0,10.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,59.0,54.0,45.0,51.0,38.0,35.0,13.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,27.0,28.0,38.0,30.0,39.0,26.0,23.0,37.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,14.0,7.0,7.0,7.0,12.0,5.0,3.0,4.0,8.0,10.0,8.0,4.0,3.0,3.0,5.0,11.0,6.0,3.0,9.0,8.0,6.0,9.0,7.0,5.0,5.0,6.0,2.0,2.0,1.0,6.0,0.0,18.0,14.0,12.0,8.0,14.0,11.0,20.0,17.0,12.0,22.0,18.0,52.0,35.0,54.0,46.0,48.0,42.0,64.0,42.0,37.0,49.0,60.0,70.0,49.0,66.0,54.0,62.0,53.0,84.0,59.0,49.0,71.0,78.0,24.0,23.0,19.0,13.0,19.0,17.0,22.0,19.0,13.0,28.0,18.0
36005000400.0,6.0,6.0,4.0,11.0,5.0,11.0,8.0,10.0,11.0,17.0,10.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,8.0,10.0,4.0,11.0,6.0,5.0,5.0,6.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,98.0,79.0,75.0,67.0,64.0,41.0,17.0,22.0,21.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,41.0,32.0,39.0,44.0,36.0,55.0,43.0,72.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,14.0,4.0,12.0,10.0,4.0,7.0,6.0,8.0,6.0,7.0,8.0,8.0,7.0,4.0,8.0,6.0,12.0,6.0,12.0,12.0,3.0,20.0,10.0,9.0,10.0,11.0,5.0,1.0,7.0,9.0,4.0,13.0,14.0,13.0,18.0,9.0,20.0,14.0,22.0,17.0,29.0,22.0,61.0,51.0,66.0,40.0,65.0,61.0,45.0,67.0,57.0,91.0,76.0,74.0,65.0,79.0,58.0,74.0,81.0,59.0,89.0,74.0,120.0,98.0,16.0,34.0,23.0,27.0,19.0,31.0,19.0,23.0,24.0,38.0,26.0
36005001600.0,17.0,11.0,9.0,14.0,18.0,14.0,15.0,17.0,14.0,10.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,8.0,12.0,7.0,12.0,15.0,6.0,5.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,53.0,62.0,52.0,52.0,52.0,47.0,13.0,14.0,17.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,62.0,65.0,73.0,53.0,65.0,68.0,65.0,56.0,54.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,15.0,14.0,15.0,11.0,9.0,7.0,7.0,11.0,8.0,26.0,24.0,26.0,15.0,25.0,21.0,21.0,19.0,16.0,18.0,12.0,8.0,11.0,14.0,8.0,6.0,9.0,9.0,6.0,9.0,7.0,3.0,43.0,35.0,37.0,29.0,43.0,35.0,37.0,36.0,30.0,28.0,23.0,91.0,87.0,92.0,95.0,81.0,91.0,84.0,77.0,70.0,71.0,79.0,134.0,122.0,129.0,124.0,124.0,126.0,121.0,113.0,100.0,99.0,102.0,51.0,46.0,51.0,37.0,49.0,44.0,46.0,42.0,39.0,35.0,26.0
36005001900.0,26.0,18.0,15.0,18.0,22.0,10.0,10.0,15.0,17.0,29.0,32.0,2.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,4.0,2.0,0.0,19.0,33.0,46.0,43.0,15.0,18.0,19.0,20.0,15.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.0,28.0,27.0,23.0,13.0,15.0,16.0,29.0,58.0,33.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,143.0,151.0,96.0,108.0,129.0,151.0,122.0,143.0,140.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,25.0,9.0,9.0,15.0,9.0,11.0,22.0,8.0,12.0,18.0,9.0,20.0,11.0,17.0,11.0,17.0,21.0,17.0,32.0,22.0,7.0,5.0,12.0,9.0,6.0,3.0,9.0,14.0,10.0,19.0,12.0,45.0,28.0,36.0,29.0,39.0,21.0,28.0,36.0,34.0,61.0,54.0,147.0,194.0,223.0,152.0,138.0,164.0,181.0,154.0,184.0,174.0,220.0,192.0,222.0,259.0,181.0,177.0,185.0,209.0,190.0,218.0,235.0,274.0,52.0,33.0,48.0,38.0,45.0,24.0,37.0,50.0,44.0,80.0,66.0
36005002000.0,19.0,29.0,27.0,26.0,24.0,31.0,32.0,54.0,41.0,41.0,34.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,0.0,17.0,19.0,14.0,27.0,16.0,16.0,10.0,13.0,15.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,191.0,176.0,165.0,128.0,123.0,112.0,80.0,47.0,44.0,84.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,84.0,67.0,72.0,71.0,80.0,76.0,83.0,79.0,76.0,70.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,16.0,18.0,10.0,11.0,5.0,10.0,10.0,16.0,12.0,30.0,22.0,19.0,16.0,18.0,30.0,35.0,30.0,34.0,18.0,21.0,52.0,31.0,29.0,24.0,21.0,25.0,28.0,11.0,11.0,12.0,13.0,49.0,52.0,46.0,43.0,45.0,61.0,70.0,86.0,75.0,59.0,57.0,118.0,104.0,104.0,118.0,107.0,105.0,99.0,106.0,104.0,116.0,100.0,167.0,156.0,150.0,161.0,152.0,166.0,169.0,192.0,179.0,175.0,157.0,101.0,83.0,75.0,67.0,66.0,86.0,98.0,97.0,86.0,71.0,70.0
36005002300.0,22.0,24.0,26.0,20.0,7.0,14.0,9.0,34.0,18.0,23.0,30.0,3.0,3.0,8.0,3.0,5.0,13.0,10.0,7.0,4.0,7.0,2.0,1.0,3.0,8.0,6.0,7.0,12.0,1.0,5.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,107.0,125.0,109.0,108.0,75.0,68.0,64.0,49.0,57.0,65.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0,61.0,63.0,51.0,66.0,38.0,66.0,50.0,51.0,68.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,8.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,19.0,15.0,20.0,7.0,15.0,14.0,19.0,15.0,14.0,15.0,14.0,25.0,30.0,30.0,14.0,27.0,17.0,16.0,16.0,22.0,25.0,19.0,41.0,40.0,47.0,27.0,22.0,28.0,28.0,49.0,33.0,39.0,44.0,62.0,71.0,87.0,68.0,83.0,67.0,81.0,66.0,67.0,86.0,62.0,103.0,111.0,134.0,95.0,105.0,95.0,109.0,115.0,100.0,125.0,106.0,66.0,70.0,77.0,41.0,49.0,45.0,44.0,65.0,55.0,64.0,63.0
36005002400.0,4.0,4.0,1.0,5.0,2.0,3.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,72.0,53.0,43.0,38.0,31.0,36.0,7.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,28.0,28.0,18.0,14.0,22.0,17.0,23.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,2.0,2.0,5.0,4.0,6.0,2.0,3.0,0.0,2.0,1.0,4.0,2.0,1.0,11.0,10.0,7.0,2.0,6.0,4.0,0.0,3.0,1.0,0.0,6.0,9.0,5.0,11.0,4.0,6.0,0.0,4.0,5.0,6.0,4.0,40.0,46.0,34.0,29.0,21.0,16.0,26.0,19.0,26.0,22.0,16.0,46.0,55.0,39.0,40.0,25.0,22.0,26.0,23.0,31.0,28.0,20.0,7.0,20.0,15.0,18.0,6.0,12.0,4.0,4.0,8.0,7.0,4.0
36005002500.0,15.0,16.0,16.0,7.0,14.0,23.0,14.0,11.0,21.0,20.0,18.0,2.0,2.0,3.0,1.0,8.0,6.0,0.0,3.0,2.0,5.0,0.0,3.0,7.0,7.0,5.0,6.0,8.0,2.0,7.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,74.0,83.0,49.0,52.0,43.0,43.0,48.0,61.0,46.0,64.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,27.0,34.0,37.0,39.0,45.0,36.0,42.0,38.0,38.0,34.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,2.0,3.0,1.0,3.0,4.0,5.0,3.0,1.0,16.0,8.0,14.0,16.0,15.0,8.0,15.0,14.0,16.0,5.0,15.0,16.0,16.0,13.0,14.0,17.0,21.0,15.0,9.0,18.0,23.0,13.0,31.0,25.0,31.0,23.0,29.0,33.0,29.0,25.0,37.0,25.0,34.0,35.0,50.0,51.0,47.0,62.0,51.0,47.0,52.0,46.0,51.0,55.0,66.0,75.0,82.0,70.0,91.0,84.0,76.0,77.0,83.0,76.0,89.0,47.0,41.0,44.0,37.0,46.0,54.0,44.0,34.0,55.0,48.0,47.0
36005002701.0,17.0,6.0,11.0,14.0,10.0,12.0,6.0,12.0,7.0,14.0,14.0,2.0,3.0,6.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,87.0,66.0,30.0,41.0,44.0,32.0,43.0,54.0,49.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,32.0,17.0,14.0,12.0,21.0,23.0,26.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,10.0,5.0,7.0,5.0,6.0,4.0,4.0,7.0,5.0,5.0,4.0,7.0,13.0,8.0,13.0,10.0,8.0,12.0,5.0,11.0,12.0,7.0,27.0,11.0,18.0,19.0,16.0,17.0,10.0,19.0,12.0,19.0,18.0,11.0,34.0,42.0,22.0,19.0,17.0,26.0,35.0,29.0,28.0,25.0,38.0,45.0,60.0,41.0,35.0,34.0,36.0,54.0,41.0,47.0,43.0,34.0,24.0,26.0,32.0,26.0,25.0,22.0,24.0,23.0,31.0,25.0
